Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0679,0.18164,12.992,1.0742,1.0796,1.9558,7.6871,0.32714,0.25,0.66105,0.29905,0.4438,0.36056,0.0038335,0.0035724
1.0269,0.27218,6.8627,1.0852,1.0508,1.551,6.8247,0.60857,0.5,0.089052,0.23712,0.4054,0.5,0.0037739,0.006778
0.95482,0.45803,3.264,0.73082,1.0239,1.1382,5.7824,1.3145,0.25,0.51867,0.41698,0.49604,0.72111,0.0079627,0.022154
1.0286,0.26998,10.002,1.918,1.0508,1.4196,6.8034,0.38681,1,0.17887,0.25899,0.36182,0.6,0.0017043,0.010953
1.1073,0.2268,7.9357,1.8788,1.1211,1.7291,7.9593,0.57122,0.25,0.22634,0.25009,0.53881,0.41231,0.0074462,0.0054315
1.029,0.17366,10.995,2.0332,1.0391,1.8528,6.9993,0.33938,0.125,0.78803,0.3776,0.50777,0.1,0.0034795,0.0029345
1.102,0.23904,7.2674,1.8424,1.1162,1.6291,7.8022,0.64762,0.875,0.37423,0.33813,0.57997,0.41231,0.0071195,0.0061969
1.1083,0.22443,8.4073,1.9161,1.1221,1.9496,7.7933,0.49731,0.75,0.47955,0.15643,0.36439,0.7,0.0057688,0.0042588
1.0428,0.17924,11.526,2.1505,1.0537,1.8,7.2453,0.36847,0.75,0.62389,0.27588,0.43836,0.64031,0.0023649,0.0034692
1.0521,0.1838,17.206,2.1943,1.0653,2.0046,7.5732,0.22969,0.5,0.15613,0.40026,0.47416,0.60828,0.0055039,0.003105
1.0339,0.27151,6.1162,1.5676,1.0551,1.4658,6.7484,0.66047,0.375,0.092713,0.52315,0.5946,0.5,0.010319,0.0070076
1.0724,0.20475,7.8265,2.6584,1.0806,1.5002,7.3188,0.54841,0.625,0.14483,0.32272,0.46605,0.70711,0.004144,0.0042656
1.0887,0.25402,5.9613,2.0579,1.1011,1.6172,7.3209,0.83209,0.5,0.29933,0.39226,0.55963,0.53852,0.0064221,0.0076049
