x,y,z,class
-0.236,-1.104,0.164,Cycling
-0.26,-0.964,0.108,Cycling
-0.132,-1.108,0.256,Cycling
-0.16,-0.908,0.164,Cycling
-0.008,-0.888,0.092,Cycling
-0.096,-1.008,0.032,Cycling
-0.056,-0.956,0.152,Cycling
0.064,-0.904,0.052,Cycling
-0.228,-1.444,0.296,Cycling
-0.124,-0.856,-0.008,Cycling
-0.096,-1.048,0.196,Cycling
-0.032,-1.24,0.208,Cycling
-0.156,-1.028,0.112,Cycling
-0.052,-1.192,0.016,Cycling
-0.052,-0.816,-0.024,Cycling
-0.34,-1.16,0.22,Cycling
0.072,-0.84,0.016,Cycling
-0.024,-1.332,0.116,Cycling
-0.06,-0.996,0.188,Cycling
-0.048,-1.036,0.048,Cycling
-0.008,-0.944,0.008,Cycling
-0.38,-1.02,0.292,Cycling
-0.016,-0.652,0.008,Cycling
-0.188,-0.668,0.076,Cycling
-0.08,-0.808,0.092,Cycling
-0.032,-0.908,0.196,Cycling
-0.088,-0.996,0.088,Cycling
-0.2,-1.12,0.14,Cycling
0.032,-0.984,0.168,Cycling
-0.164,-1.28,0.28,Cycling
-0.164,-1.268,0.22,Cycling
-0.172,-1.176,0.112,Cycling
-0.168,-1.168,0.104,Cycling
-0.196,-1.1,0.164,Cycling
-0.112,-1.016,0.156,Cycling
-0.464,-0.844,-0.18,Cycling
-0.388,-0.888,-0.424,Cycling
-0.8,-0.828,-0.284,Cycling
-0.192,-1.456,-0.54,Cycling
-0.312,-1,0.384,Cycling
-0.02,-1.028,0.396,Cycling
0.012,-1.024,-0.024,Cycling
-0.044,-0.836,0.248,Cycling
-0.1,-0.852,0.112,Cycling
-0.136,-1.068,0.432,Cycling
0.24,-1.1,0.176,Cycling
-0.108,-1.024,0.044,Cycling
0.112,-0.908,0.344,Cycling
0.044,-0.876,-0.036,Cycling
-0.092,-0.916,0.252,Cycling
-0.416,-0.816,0.276,Cycling
0.172,-1.052,-0.232,Cycling
0.12,-0.804,0.28,Cycling
0.044,-0.884,-0.104,Cycling
0.092,-0.848,0.212,Cycling
